industry,code,buy_date,sell_date,buy_price,sell_price,pct_reward
白酒,sh.600779.csv,2015-05-20,2015-05-26,11.69,12.83,0.09751924721984606
白酒,sz.000596.csv,2014-12-01,2014-12-03,29.36,33.0,0.12397820163487738
白酒,sh.600199.csv,2015-05-15,2015-05-22,11.85,12.8,0.08016877637130815
白酒,sh.600559.csv,2014-12-02,2014-12-03,28.82,31.7,0.0999306037473977
包装印刷,sz.002229.csv,2019-11-15,2019-11-18,6.13,6.74,0.09951060358890707
包装印刷,sh.600836.csv,2019-11-15,2019-11-18,3.79,4.17,0.10026385224274414
包装印刷,sh.600836.csv,2020-04-08,2020-04-15,5.5,6.22,0.13090909090909086
玻璃玻纤,sh.600876.csv,2012-02-03,2012-02-06,5.81,6.39,0.09982788296041312
乘用车,sz.000572.csv,2012-10-22,2012-10-23,2.73,3.0,0.098901098901099
动物保健,sz.002688.csv,2019-09-06,2019-09-10,5.64,6.46,0.14539007092198597
动物保健,sh.600201.csv,2019-09-05,2019-09-09,16.61,18.24,0.09813365442504507
电力,sh.600644.csv,2019-03-12,2019-03-19,6.2,6.74,0.08709677419354844
电力,sz.000993.csv,2019-03-12,2019-03-14,5.99,6.47,0.08013355592654414
电力,sz.000993.csv,2020-08-19,2020-08-20,7.47,8.22,0.10040160642570295
电力,sz.002617.csv,2020-02-04,2020-02-12,4.66,5.08,0.09012875536480691
电力,sz.000791.csv,2017-10-10,2017-10-11,8.42,9.26,0.09976247030878849
多元金融,sh.600390.csv,2012-04-10,2012-04-12,12.77,14.06,0.10101801096319507
多元金融,sz.000563.csv,2012-04-09,2012-04-12,12.35,13.78,0.11578947368421044
多元金融,sz.000563.csv,2012-12-07,2012-12-17,11.22,12.27,0.09358288770053469
多元金融,sz.000563.csv,2016-03-17,2016-03-21,11.24,12.83,0.14145907473309616
多元金融,sz.000532.csv,2012-04-12,2012-04-16,8.23,9.26,0.1251518833535843
多元金融,sh.600061.csv,2012-04-12,2012-04-17,6.23,6.77,0.08667736757624378
电池,sz.002074.csv,2015-03-19,2015-03-24,25.75,27.96,0.08582524271844671
电池,sh.600241.csv,2015-03-16,2015-03-19,10.56,11.55,0.09375
电池,sh.600241.csv,2016-06-20,2016-06-21,17.03,18.73,0.09982384028185542
电池,sh.600152.csv,2015-03-31,2015-04-07,9.52,10.49,0.10189075630252109
电池,sz.002580.csv,2015-03-16,2015-03-23,23.1,26.23,0.13549783549783534
电池,sz.002733.csv,2015-04-02,2015-04-10,36.65,41.82,0.14106412005457036
电池,sh.600884.csv,2015-03-12,2015-03-20,20.17,21.82,0.08180466038671286
电池,sh.600884.csv,2015-03-31,2015-04-03,23.24,25.65,0.10370051635111888
电池,sz.002709.csv,2015-03-10,2015-03-17,38.85,42.42,0.09189189189189184
电池,sz.002125.csv,2015-03-16,2015-03-20,12.48,13.56,0.08653846153846145
电网设备,sh.600268.csv,2017-08-14,2017-08-18,6.03,6.55,0.08623548922056368
电网设备,sh.601700.csv,2016-04-14,2016-04-15,7.6,8.36,0.09999999999999987
电网设备,sh.601700.csv,2016-05-31,2016-06-03,7.14,7.87,0.1022408963585435
电网设备,sz.002358.csv,2016-05-25,2016-06-02,16.54,18.1,0.09431680773881523
电网设备,sz.002622.csv,2016-04-20,2016-04-28,23.41,25.39,0.08457923964117908
电网设备,sz.002451.csv,2016-05-31,2016-06-07,10.81,11.7,0.08233117483811281
电网设备,sz.002533.csv,2016-05-31,2016-06-06,9.81,11.48,0.17023445463812426
电网设备,sz.002090.csv,2016-04-13,2016-04-18,26.85,29.11,0.084171322160149
地面兵装,sh.600184.csv,2009-04-10,2009-04-15,17.95,20.17,0.1236768802228414
地面兵装,sz.000519.csv,2009-09-07,2009-09-11,11.98,13.88,0.1585976627712855
非白酒,sh.600132.csv,2015-04-02,2015-04-07,23.7,26.35,0.11181434599156126
非白酒,sz.000729.csv,2014-12-09,2014-12-15,7.4,8.2,0.10810810810810789
非白酒,sh.600573.csv,2015-03-30,2015-04-07,12.29,13.78,0.12123677786818554
非白酒,sh.601579.csv,2015-04-03,2015-04-13,14.66,15.91,0.08526603001364252
纺织制造,sz.002098.csv,2015-04-10,2015-04-13,24.66,27.13,0.10016220600162207
纺织制造,sh.600527.csv,2015-10-12,2015-10-15,6.02,6.77,0.12458471760797352
纺织制造,sh.601599.csv,2015-10-14,2015-10-19,14.92,16.5,0.10589812332439674
纺织制造,sh.600156.csv,2015-10-12,2015-10-15,10.46,11.33,0.08317399617590815
纺织制造,sh.600987.csv,2015-04-08,2015-04-13,14.03,15.8,0.1261582323592303
纺织制造,sz.002144.csv,2015-10-21,2015-10-23,21.13,24.37,0.15333648840511138
纺织制造,sz.002083.csv,2015-04-17,2015-04-24,7.19,7.87,0.09457579972183594
纺织制造,sz.002722.csv,2015-04-13,2015-04-14,23.28,25.61,0.10008591065292083
服装家纺,sh.600137.csv,2015-04-09,2015-04-13,26.56,28.87,0.08697289156626509
服装家纺,sh.601566.csv,2015-07-15,2015-07-20,18.37,19.96,0.08655416439847574
服装家纺,sz.002029.csv,2015-07-15,2015-07-17,13.96,15.44,0.10601719197707715
服装家纺,sh.600630.csv,2015-04-07,2015-04-14,16.38,18.59,0.13492063492063489
服装家纺,sh.600400.csv,2015-04-07,2015-04-10,10.27,11.15,0.08568646543330094
服装家纺,sh.600400.csv,2015-07-15,2015-07-17,10.15,11.96,0.17832512315270943
服装家纺,sh.600400.csv,2019-03-04,2019-03-12,4.06,4.55,0.12068965517241392
服装家纺,sz.002397.csv,2015-04-16,2015-04-22,18.63,20.28,0.08856682769726265
服装家纺,sz.002397.csv,2015-07-15,2015-07-17,8.76,9.91,0.1312785388127855
服装家纺,sh.601718.csv,2015-04-09,2015-04-13,7.63,8.28,0.08519003931847968
服装家纺,sh.601718.csv,2015-07-22,2015-07-23,13.9,15.29,0.09999999999999987
服装家纺,sh.600177.csv,2015-04-09,2015-04-16,17.94,20.83,0.16109253065774798
服装家纺,sz.002634.csv,2015-07-15,2015-07-17,18.87,21.42,0.1351351351351351
服装家纺,sz.002485.csv,2015-07-15,2015-07-17,10.9,12.45,0.14220183486238525
服装家纺,sh.603555.csv,2015-04-08,2015-04-13,36.99,41.29,0.11624763449580966
房地产开发,sz.000909.csv,2010-09-01,2010-09-03,11.87,12.93,0.08930075821398487
房地产开发,sz.000909.csv,2010-09-01,2010-09-03,11.87,12.93,0.08930075821398487
房地产开发,sh.600393.csv,2010-08-18,2010-08-23,7.28,7.98,0.09615384615384626
房地产开发,sh.600773.csv,2010-08-24,2010-08-31,11.29,13.18,0.1674047829937999
房地产开发,sh.600773.csv,2010-08-31,2010-09-01,13.18,14.5,0.10015174506828539
风电设备,sh.600416.csv,2011-09-28,2011-09-30,9.02,9.98,0.10643015521064303
风电设备,sh.601218.csv,2013-05-20,2013-05-23,9.52,10.3,0.08193277310924385
风电设备,sh.601218.csv,2015-10-21,2015-10-26,6.12,6.75,0.10294117647058831
工业金属,sh.600615.csv,2022-06-21,2022-06-27,6.99,7.58,0.0844062947067239
工业金属,sh.603527.csv,2022-06-17,2022-06-22,10.58,11.63,0.09924385633270338
工业金属,sh.603876.csv,2022-06-17,2022-06-20,38.15,41.29,0.08230668414154652
工业金属,sz.002540.csv,2022-06-17,2022-06-23,5.85,6.71,0.14700854700854715
贵金属,sz.000506.csv,2014-08-14,2014-08-22,4.84,5.56,0.14876033057851235
贵金属,sh.600988.csv,2014-08-11,2014-08-12,7.38,8.12,0.10027100271002709
贵金属,sz.000975.csv,2014-11-28,2014-12-04,13.46,14.74,0.09509658246656749
光学光电子,sz.002955.csv,2022-01-20,2022-01-27,20.75,22.47,0.08289156626506022
光学光电子,sz.002456.csv,2021-08-30,2021-09-07,7.29,8.04,0.10288065843621386
光伏设备,sh.600537.csv,2015-04-09,2015-04-10,18.64,20.5,0.09978540772532196
光伏设备,sz.002129.csv,2014-12-22,2014-12-25,19.58,21.31,0.08835546475995915
光伏设备,sz.002610.csv,2015-07-06,2015-07-14,9.81,10.79,0.09989806320081529
光伏设备,sz.002218.csv,2015-07-15,2015-07-17,9.3,10.48,0.1268817204301076
广告营销,sh.600358.csv,2010-08-25,2010-08-31,5.68,6.28,0.10563380281690149
广告营销,sz.002027.csv,2010-08-09,2010-08-10,6.03,6.63,0.09950248756218905
化学原料,sh.600319.csv,2012-04-06,2012-04-16,5.31,5.82,0.09604519774011311
化学原料,sz.000510.csv,2012-10-26,2012-10-30,4.78,5.44,0.13807531380753146
化学原料,sz.000990.csv,2012-04-10,2012-04-16,7.5,8.12,0.08266666666666667
化学原料,sz.002002.csv,2012-04-10,2012-04-12,7.44,8.2,0.10215053763440851
化学原料,sz.000818.csv,2013-01-09,2013-01-16,3.87,4.23,0.09302325581395365
化学原料,sh.600367.csv,2012-04-12,2012-04-19,14.48,15.95,0.10151933701657456
化学原料,sz.002136.csv,2013-02-26,2013-03-06,8.57,9.32,0.08751458576429405
化学制品,sh.600309.csv,2013-08-05,2013-08-12,15.95,17.53,0.09905956112852676
化学制品,sz.002360.csv,2013-08-20,2013-08-21,7.92,8.71,0.09974747474747492
化学纤维,sh.600889.csv,2012-02-24,2012-03-05,6.38,7.15,0.12068965517241392
化学纤维,sz.000420.csv,2014-06-27,2014-07-07,4.05,4.39,0.08395061728395059
化学纤维,sz.002254.csv,2012-02-20,2012-02-23,12.24,13.65,0.11519607843137258
化学纤维,sh.600063.csv,2014-06-30,2014-07-03,2.45,2.66,0.08571428571428563
黑色家电,sh.600839.csv,2011-03-15,2011-03-16,3.98,4.38,0.10050251256281406
黑色家电,sz.000016.csv,2011-03-15,2011-03-16,4.84,5.32,0.09917355371900838
黑色家电,sz.000801.csv,2011-03-14,2011-03-15,20.69,22.35,0.08023199613339771
互联网电商,sz.002315.csv,2015-02-03,2015-02-04,68.52,75.37,0.09997081144191489
互联网电商,sz.002280.csv,2016-01-12,2016-01-19,40.2,44.0,0.0945273631840795
互联网电商,sz.002280.csv,2016-02-17,2016-02-23,46.37,50.5,0.08906620659909437
互联网电商,sz.002127.csv,2014-07-17,2014-07-21,5.3,5.85,0.10377358490566024
互联网电商,sz.002640.csv,2014-07-17,2014-07-18,16.57,18.23,0.10018105009052514
航空装备,sz.000738.csv,2015-03-16,2015-03-19,19.69,21.32,0.08278313864906028
航空装备,sh.600862.csv,2015-03-17,2015-03-23,15.01,16.29,0.08527648234510332
航空装备,sh.600391.csv,2015-03-16,2015-03-18,31.49,35.3,0.12099079072721497
航空装备,sz.002625.csv,2015-03-26,2015-03-27,7.8,8.58,0.10000000000000009
航空装备,sz.002023.csv,2015-03-13,2015-03-17,26.57,29.94,0.12683477606322935
航空装备,sh.600765.csv,2015-03-16,2015-03-24,23.7,25.98,0.09620253164556969
航空装备,sz.002297.csv,2015-03-16,2015-03-20,15.0,17.08,0.1386666666666665
航空装备,sz.000697.csv,2015-03-17,2015-03-24,24.92,27.95,0.12158908507223098
航空装备,sh.600893.csv,2015-03-16,2015-03-18,32.71,35.86,0.09630082543564655
环保设备,sz.002645.csv,2012-04-05,2012-04-10,21.8,23.88,0.09541284403669725
环保设备,sz.002645.csv,2012-12-05,2012-12-07,12.28,13.28,0.08143322475570036
化妆品,sz.002243.csv,2009-09-09,2009-09-11,17.46,18.94,0.08476517754868262
化妆品,sz.002243.csv,2009-10-14,2009-10-15,9.94,10.93,0.0995975855130784
化妆品,sz.002243.csv,2010-10-25,2010-11-01,12.3,13.85,0.1260162601626016
IT服务,sh.600446.csv,2015-10-28,2015-10-29,37.19,40.91,0.10002688894864198
IT服务,sz.000158.csv,2015-12-17,2015-12-23,19.75,21.68,0.09772151898734172
IT服务,sz.000638.csv,2015-10-19,2015-10-23,12.9,14.1,0.09302325581395343
IT服务,sz.000555.csv,2015-10-20,2015-10-22,29.0,31.69,0.09275862068965512
IT服务,sh.600728.csv,2015-10-16,2015-10-21,27.68,30.06,0.0859826589595376
