industry,code,buy_date,sell_date,buy_price,sell_price,pct_reward
玻璃玻纤,sh.600819.csv,2011-12-27,2011-12-30,10.32,9.5,-0.0794573643410853
电力,sh.601991.csv,2017-09-29,2017-09-29,4.52,4.52,0.0
电力,sh.600396.csv,2017-09-28,2017-09-29,3.87,3.91,0.010335917312661591
电力,sz.000966.csv,2017-09-25,2017-09-29,4.67,4.63,-0.008565310492505307
电力,sz.000591.csv,2017-12-13,2017-12-15,5.8,5.71,-0.01551724137931032
电力,sh.600310.csv,2017-09-25,2017-09-29,6.57,6.65,0.0121765601217656
多元金融,sz.000563.csv,2019-10-10,2019-10-16,4.25,4.35,0.0235294117647058
电池,sz.002125.csv,2015-04-28,2015-04-28,15.46,15.46,0.0
服装家纺,sz.002397.csv,2017-01-03,2017-01-03,8.22,8.22,0.0
服装家纺,sh.600107.csv,2015-04-28,2015-04-30,15.27,13.95,-0.08644400785854622
工业金属,sh.601600.csv,2022-06-28,2022-07-01,4.95,4.74,-0.042424242424242364
工业金属,sh.600497.csv,2022-06-24,2022-07-01,5.26,5.15,-0.02091254752851701
工业金属,sh.601388.csv,2022-06-24,2022-07-01,3.58,3.53,-0.013966480446927498
工业金属,sh.600531.csv,2022-06-24,2022-07-01,5.3,5.24,-0.011320754716981019
工业金属,sz.000060.csv,2022-06-28,2022-07-01,4.58,4.45,-0.028384279475982543
工业金属,sh.600888.csv,2022-07-01,2022-07-01,9.68,9.68,0.0
工业金属,sz.002203.csv,2022-06-27,2022-07-01,11.71,11.51,-0.01707941929974388
工业金属,sz.002578.csv,2022-06-29,2022-07-01,5.69,5.7,0.0017574692442881013
工业金属,sz.002379.csv,2022-06-28,2022-07-01,3.63,3.71,0.02203856749311295
工业金属,sz.000737.csv,2022-06-27,2022-07-01,6.49,6.31,-0.027734976887519358
工业金属,sz.002532.csv,2022-06-28,2022-07-01,6.78,6.48,-0.04424778761061943
光学光电子,sh.605218.csv,2021-09-17,2021-09-22,13.43,13.31,-0.008935219657483229
工程咨询服务,sh.600868.csv,2020-04-07,2020-04-07,3.24,3.24,0.0
广告营销,sh.600640.csv,2012-05-18,2012-05-24,9.79,9.69,-0.010214504596527063
广告营销,sz.002027.csv,2012-05-23,2012-05-24,4.38,4.37,-0.0022831050228310223
化学原料,sz.000818.csv,2012-11-13,2012-11-14,3.81,3.76,-0.013123359580052618
化学纤维,sh.600810.csv,2013-10-08,2013-10-11,5.48,5.51,0.005474452554744325
化学纤维,sz.000782.csv,2013-10-08,2013-10-11,4.18,4.03,-0.03588516746411474
化学纤维,sh.600063.csv,2013-10-10,2013-10-11,2.19,2.23,0.0182648401826484
黑色家电,sz.000016.csv,2013-03-01,2013-03-08,3.4,3.25,-0.044117647058823484
黑色家电,sh.600060.csv,2011-09-20,2011-09-27,12.74,12.37,-0.029042386185243352
互联网电商,sz.002127.csv,2015-09-10,2015-09-10,11.26,11.26,0.0
基础建设,sh.600512.csv,2018-04-10,2018-04-17,3.99,3.81,-0.045112781954887216
旅游及景区,sh.600593.csv,2015-02-13,2015-02-17,18.55,18.45,-0.005390835579514919
旅游及景区,sh.600138.csv,2015-02-13,2015-02-17,17.4,17.57,0.009770114942528885
